id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize
47693	residential	Expansive Residence!	Auction 16/10/21 @ 12pm - If not sold prior	2021-10-01T08:38:33.199133+10:00	2021-10-14T17:01:28.797818+11:00	8 Winter Place	JERRABOMBERRA	NSW	2619	149.2018998	-35.3718141	House	624	Ian McNamee & Partners - Queanbeyan	Lucy MacGregor	5	3	3		777.00
47695	residential	Perfect Place To Start	Auction 21/10/2021	2021-10-01T08:51:14.482887+10:00	2021-10-21T17:31:31.287411+11:00	25/85 Macfarlane Burnet Avenue	MACGREGOR	ACT	2615	149.0033608	-35.2104282	Townhouse	232	Ray White Canberra	Nathan Wood	2	1	1	6.00	0.00
47697	residential	sweet.heart	$1,405,000	2021-10-01T09:11:17.263629+10:00	2021-10-20T17:01:33.250081+11:00	14 Lalor Street	AINSLIE	ACT	2602	149.1519225	-35.2539992	House	618	home.by holly	Holly Komorowski	3	1	1	0.00	0.00
47702	residential	The Inner Sanctuary - RZ2 zoning, 917m2 block (approx.)	Auction	2021-10-01T10:30:49.807340+10:00	2021-10-06T23:16:30.610792+11:00	9 Hedley Street	HACKETT	ACT	2602	149.1601326	-35.2478795	House	2647	Timothy Road	Tim McInnes	3	1	1	3.00	917.00
47707	residential	Great Home & Low Maintenance	$599,000	2021-10-01T10:46:39.365512+10:00	2021-10-01T10:47:28.088623+10:00	21 Fitzpatrick St	GOULBURN	NSW	2580	149.7196806	-34.7272679	House	3199	Raine & Horne Goulburn	Zeb Alaia	4	2	2		484.00
47708	residential	Spectacular Sunsets & Outstanding Character 	Auction	2021-10-01T11:12:06.563741+10:00	2021-10-20T10:01:57.731823+11:00	46 Kirkwood Crescent	GORDON	ACT	2906	149.0794015	-35.4610041	House	413	Luton Tuggeranong	Ky Cuschieri	4	2	2	2.50	817.00
47715	residential	A rare find found	Auction 15/10/2021	2021-10-01T12:49:15.103715+10:00	2021-10-15T14:01:44.813273+11:00	11 Henry Street	COOK	ACT	2614	149.0617822	-35.260965	House	232	Ray White Canberra	Peter Walker	4	1	2	0.50	895.00
47716	residential	perfect.opportunity 	$1,425,000	2021-10-01T09:31:11.150111+10:00	2021-10-20T07:46:30.193833+11:00	73 Wattle Street	O'CONNOR	ACT	2602	149.1251861	-35.2535358	House	618	home.by holly	Ash Costello	4	2	0	2.00	663.00
47725	residential	Corporate living.	Auction 23/10/2021	2021-10-01T14:33:46.824388+10:00	2021-10-08T16:35:30.541262+11:00	105/56 Printers Way	KINGSTON	ACT	2604	149.1464446	-35.3158198	Apartment	1155	PURNELL	Nick Purnell	1	1	1	4.50	0.00
47728	residential	Fantastic Affordable opportunity!1	Auction 21 October at 12.30pm	2021-10-01T14:51:31.145342+10:00	2021-10-21T14:31:28.326332+11:00	7 Cordia Place	RIVETT	ACT	2611	149.0353806	-35.3473121	House	433	Maloney's Property	Moira Maloney	3	1	1	2.00	
47744	residential	SOLD PRIOR TO AUCTION Downsizer, Astute Investor or First Home Buyer?	Contact Agent	2021-10-01T22:01:05.339813+10:00	2021-10-19T09:31:30.235513+11:00	69/42 Paul Coe Crescent	NGUNNAWAL	ACT	2913	149.1182175	-35.1776352	Townhouse	631	Maria Selleck Properties	Maria Selleck	3	2	1	5.50	
47751	rural	"""Lone Palm"""	Contact Agent	2021-10-03T14:28:20.899141+11:00	2021-10-09T14:01:57.828115+11:00	233 Wagonga Scenic Drive	NAROOMA	NSW	2546	150.0866327	-36.2494459	MixedFarming	3196	Whale Coast Realty	John Murray	5	2	2		60.58
47781	residential	The ultimate 'forever' home	SOLD $1,625,000	2021-10-05T15:06:58.875909+11:00	2021-10-19T16:46:36.844463+11:00	18 Cleaver Street	GOOGONG	NSW	2620	149.2267742	-35.4188286	House	1191	Blackshaw Queanbeyan & Jerrabomberra	Alexandra Ahkey	6	3	4		
47783	residential	Fabulous Family Home in Macarthur	Auction	2021-10-05T15:12:09.522094+11:00	2021-10-19T14:01:29.788525+11:00	4 Schinckel Place	MACARTHUR	ACT	2904	149.1301213	-35.4026735	House	413	Luton Tuggeranong	Mina Etminan	4	2	2	2.50	917.00
47801	residential	Well located in a sought after precinct	$459,000+	2021-10-05T18:41:33.961438+11:00	2021-10-21T15:31:27.189087+11:00	307/6 Provan Street	CAMPBELL	ACT	2612	149.1438714	-35.2887474	Apartment	410	McGrath Canberra	Matt Harmer	1	1	2	6.00	
47816	residential	A Perfect First Home Or Investment	Auction on Site 31st October at 10:30 am	2021-10-06T10:07:48.502078+11:00	2021-10-16T10:58:47.062342+11:00	56 Carr Crescent	WANNIASSA	ACT	2903	149.088638	-35.3906062	House	2880	Confidence Real Estate	Anish Sebastian	3	2	4	0.50	781.00
47855	residential	AN INVESTMENT AS GOOD AS GOLD	Auction	2021-10-06T17:33:14.443356+11:00	2021-10-15T16:31:41.509344+11:00	80 Oodgeroo Avenue	FRANKLIN	ACT	2913	149.1420226	-35.2002848	House	702	Town Residential	Ajay Kumar	3	1	1	6.00	200.00
47859	residential	SOLD PRIOR AUCTION	Contact Agent	2021-10-06T21:24:46.728273+11:00	2021-10-18T12:31:34.810793+11:00	3/85 Appleford Avenue	JACKA	ACT	2914	149.1266124	-35.1581046	Townhouse	2429	One Agency Gamarra & Co	Bryan Gamarra	2	1	1	6.00	
47860	residential	A desirable family location, with a generous family home on offer	Auction	2021-10-07T06:59:16.668245+11:00	2021-10-20T21:31:30.109689+11:00	4 Coleman Street	PEARCE	ACT	2607	149.078303	-35.3654085	House	414	Luton Weston Creek & Molonglo Valley	Tim and Justine Burke	5	3	2	0.50	1027.00
47865	residential	spring.garden	$1,220,000	2021-10-07T08:25:10.241057+11:00	2021-10-18T09:31:29.476337+11:00	50 Vagabond Crescent	MCKELLAR	ACT	2617	149.0733039	-35.2151728	House	618	home.by holly	Cris O'Brien	4	2	2	2.50	
47872	residential	Renovate or Rebuild	VIRTUAL AUCTION	2021-10-07T09:55:33.051730+11:00	2021-10-21T15:16:35.147345+11:00	10 Litchfield Place	GILMORE	ACT	2905	149.1320052	-35.4132088	House	34	McIntyre Property	Colin McIntyre	3	1	0	3.00	872.00
47880	residential	Peaceful Three Bedroom Townhouse with Low Maintenance Appeal	Auction 28/10/21	2021-10-07T10:16:20.130053+11:00	2021-10-12T17:17:01.678360+11:00	6/35 Tenison-woods Circuit	BONYTHON	ACT	2905	149.0775713	-35.4256302	Townhouse	232	Ray White Canberra	Robert Darcy	3	2	3	4.00	0.00
47883	residential	Live the Lawson Lifestyle	$550,000+	2021-10-07T11:12:16.841736+11:00	2021-10-21T15:01:27.127768+11:00	17/2 Bulletin Street	LAWSON	ACT	2617	149.0875798	-35.2276241	Apartment	409	Luton Gungahlin	Adrian Giampietro	2	2	2	6.00	
47884	residential	An idyllic location blended with sophisticated family living	Auction on site 24th October at 2:00pm	2021-10-07T11:13:48.477030+11:00	2021-10-18T09:21:37.267631+11:00	32 Winsome Street	TAYLOR	ACT	2913	149.115084	-35.1468174	House	2880	Confidence Real Estate	Alvin Nappilly	4	3	2	6.00	525.00
47885	residential	Location and Lifestyle	Auction 21/10/2021	2021-10-07T11:14:21.578092+11:00	2021-10-21T15:46:35.791506+11:00	2 Alawa Street	WARAMANGA	ACT	2611	149.0665791	-35.3505562	House	232	Ray White Canberra	Alec Brown	4	2	4	2.00	801.00
47889	residential	Perfect Choice	Auction 30/10/2021	2021-10-07T11:43:17.194337+11:00	2021-10-21T17:22:14.090557+11:00	16 Packham Place	CHARNWOOD	ACT	2615	149.0391903	-35.201654	House	1922	IQ Real Estate	Vinko Milicevic	3	1	1	0.50	475.00
47906	residential	Home sweet home!	Auction	2021-10-07T13:57:25.963970+11:00	2021-10-19T12:16:31.090713+11:00	227 Maribyrnong Avenue	KALEEN	ACT	2617	149.1097142	-35.2319695	House	439	LJ Hooker Kaleen	Tim Russell	3	1	1	0.00	895.00
47912	residential	It's yours to buy today 	$690,000 to $730,000	2021-10-07T14:19:20.378295+11:00	2021-10-21T16:01:34.209438+11:00	1 Forest Parade	TOMAKIN	NSW	2537	150.1891715	-35.8244428	House	2530	My Agent Christine Ewin	Christine Ewin	3	2	2	0.00	
47922	residential	argyle.136	$589,500	2021-10-07T16:20:11.103881+11:00	2021-10-12T14:46:35.057583+11:00	136/33 Currong Street	REID	ACT	2612	149.1377692	-35.280522	Apartment	618	home.by holly	Holly Komorowski	2	1	1	5.50	
47928	residential	Rustic Charm!	Price Guide $980,000 - $1,060,000	2021-10-07T16:46:21.526340+11:00	2021-10-19T12:01:58.290888+11:00	21A Caber Street	MOSS VALE	NSW	2577	150.3573597	-34.5583153	House	2685	Raine & Horne Southern Highlands	Damien Ogilvy	4	2	3		1564.00
47929	residential	Convenience at its finest, an updated apartment in a great suburb!	Offers Above $220,000	2021-10-07T17:08:40.980013+11:00	2021-10-15T11:46:26.380662+11:00	46/27 Coxen Street	HUGHES	ACT	2605	149.0924829	-35.3352116	Apartment	599	Cream Residential	Chris Wilson	0	1	0	3.00	
47941	residential	How Good In Sherwood!	Auction	2021-10-08T09:56:13.097417+11:00	2021-10-19T15:16:28.222358+11:00	8/13 Sherwood Circuit	GORDON	ACT	2906	149.0903119	-35.4607945	Apartment	413	Luton Tuggeranong	Michael Martin	2	1	1	3.00	
