id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
63206	Land	2022-08-26	$410,000	2022-09-23	$400,000	0	0	0		654.0	LJ Hooker Moruya	13-swan-ridge-place-moruya-nsw-2537
63207	House	2022-08-26	By Negotiation	2022-09-21	$850,000	3	2	1	5.0	740.0	New Door Properties	26-hughes-crescent-ngunnawal-act-2913
63212	House	2022-08-26	Contact Agent	2022-09-23	$775,000	4	2	1		645.0	LJ Hooker Sussex Inlet	36-iverison-road-sussex-inlet-nsw-2540
63217	House	2022-08-26	$1,350,000 - $1,450,000	2022-09-20	$1,370,000	6	3	8		673.0	My Agent Team	15-the-ridge-road-malua-bay-nsw-2536
63220	House	2022-08-26	$2,710,000	2022-10-05	$2,710,000	4	5	2		696.0	Smile Elite	38-arthur-street-forestville-nsw-2087
63225	House	2022-08-26	$949,000 - $989,000	2023-02-16	$910,000	5	3	2		682.0	Ray White Batemans Bay	59-pacific-road-surf-beach-nsw-2536
63226	House	2022-08-26	Guide $1,175,000 - $1,275,000	2022-10-21	$1,290,000	4	2	2		980.0	Ray White Bowral	10-oxley-drive-mittagong-nsw-2575
63228	Unit	2022-08-26	$389,000	2022-11-04	Undisclosed	2	1	1		307.0	Macarthur Real Estate Agency	1-14-canola-place-estella-nsw-2650
63231	House	2022-08-26	$1,295,000	2022-10-24	$1,100,000	3	2	2		839.0	Henley Property - Jindabyne	16-kunama-drive-east-jindabyne-nsw-2627
63236	House	2022-08-26	Offers Above $899,000	2023-01-16	Undisclosed	4	2	2	6.0	520.0	Town Residential	89-irinyili-street-bonner-act-2914
63238	AcreageSemi-rural	2022-08-26	$1,350,000 - $1,400,000	2022-09-19	$1,350,000	4	2	2		2.21	Sails Real Estate	38-karuka-close-bald-hills-nsw-2549
63239	House	2022-08-26	$650,000	2022-09-12	$675,000	4	2	9		1620.0	Flemings Property Services	38-scott-street-harden-nsw-2587
63248	House	2022-08-28	$2,150,000	2022-10-18	$2,045,000	5	3	2		914.0	Henley Property - Jindabyne	4-echidna-place-jindabyne-nsw-2627
63255	House	2022-08-29	$310,000	2022-11-15	Undisclosed	2	1	0		524.8	Raine & Horne Young	1-church-street-grenfell-nsw-2810
63257	Apartment	2022-08-29	SOLD IN TWO WEEKS.	2022-09-30	$610,000	2	2	2	6.0		One Agency Gungahlin	16-39-benjamin-way-belconnen-act-2617
63258	Townhouse	2022-08-29	Contact Agent	2022-09-02	Undisclosed	3	2	2			Smile Elite	47-buckley-avenue-blacktown-nsw-2148
63261	Other	2022-08-29	AUCTION	2022-10-14	Undisclosed	4	2	10		2078.0	Ray White Goulburn	the-meadows-collector-road-goulburn-nsw-2580
63264	House	2022-08-29	Guide - $600,000 - $620,000	2022-09-15	$605,000	4	2	3		771.0	Henley Property - Cooma	29-egan-street-cooma-nsw-2630
63265	House	2022-08-29	$695,000	2023-02-23	$665,000	3	2	4		659.0	Henley Property - Cooma	20-bradley-street-cooma-nsw-2630
63266	Unit	2022-08-29	$599,000	2022-10-07	Undisclosed	3	2	2		457.0	PRD Wagga Wagga	3-2-3-larra-place-bourkelands-nsw-2650
63278	House	2022-08-29	$895,000	2023-05-11	$850,000	3	1	2	1.5		The Real Estate Shop	1-25-wilkins-street-mawson-act-2607
63282	Lifestyle	2022-08-29	Auction Unless Sold Prior	2022-09-19	$770,000	1	1	4		4.0	Raine & Horne Goulburn	147-sawpit-lane-bungonia-nsw-2580
63292	House	2022-08-29	$925,000	2022-10-11	Undisclosed	4	3	2		977.0	Ben Bate Real Estate	12-emma-close-dalmeny-nsw-2546
63293	House	2022-08-29	$869,000	2022-09-29	Undisclosed	4	2	2		818.0	PRD Wagga Wagga	52-brindabella-drive-tatton-nsw-2650
63295	Apartment	2022-08-29	$385,000+	2022-10-11	$380,000	1	1	1	6.0		Impact Properties	22-6-gungahlin-place-gungahlin-act-2912
63299	House	2022-08-30	$1,350,000 - $1,450,000	2022-10-21	$1,200,000	4	2	3		0.0	Ward Estate Agents	36-bendora-avenue-queanbeyan-nsw-2620
63300	Lifestyle	2022-08-30	$659,000	2022-09-21	$650,000	2	1	2		150.0	Raine & Horne Goulburn	755-langs-road-wombeyan-caves-nsw-2580
63301	Townhouse	2022-08-30	Auction	2022-09-09	Undisclosed	2	1	1	6.0		Luton Gungahlin	9-11-starcevich-crescent-jacka-act-2914
63302	Lifestyle	2022-08-30	$1,100,000-$1,200,000	2022-10-17	$1,130,000	4	2	0	1.0	7420.0	LJ Hooker Kippax	3-galloway-place-murrumbateman-nsw-2582
63303	House	2022-08-30	$699,000	2022-10-21	Undisclosed	6	4	4		5969.0	Ray White Wagga Wagga	2-austin-place-coolamon-nsw-2701
63316	House	2022-08-30	Auction	2022-09-24	Undisclosed	5	2	2	3.5	1251.0	Luton Manuka	11-mcmanus-place-calwell-act-2905
63318	House	2022-08-30	Auction Sat 1st October 1.30 PM	2022-09-14	Undisclosed	4	2	2	5.0	650.0	New Door Properties	110-wanganeen-avenue-ngunnawal-act-2913
63322	Apartment	2022-08-30	Auction	2022-09-13	$750,000	2	2	2	6.0		LJ Hooker Canberra City	212-19-marcus-clarke-street-acton-act-2601
63327	House	2022-08-30	$900,000	2023-04-11	$825,000	6	3	2			My Agent Team	47-ocean-avenue-surf-beach-nsw-2536
63328	House	2022-08-30	$630,000 - $670,000	2022-09-23	$675,000	3	1	0		575.0	My Agent Team	11-mulgowrie-street-malua-bay-nsw-2536
63331	House	2022-08-30	$415,000	2022-09-19	Undisclosed	5	2	1		1005.0	Raine & Horne Young	31-whiteman-avenue-young-nsw-2594
63354	BlockOfUnits	2022-08-30	$760,000	2022-10-27	Undisclosed	5	3	2		662.0	Macarthur Real Estate Agency	5-5a-hazelwood-drive-forest-hill-nsw-2651
