id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
92997	House	2024-01-02	$650,000	2024-03-22	$640,000	3	2	1		601.0	My Agent Team	37-riverview-crescent-catalina-nsw-2536
92998	House	2024-01-02	$750,000 - $770,000	2024-04-12	$755,000	3	2	2		798.0	My Agent Team	11-carramar-drive-lilli-pilli-nsw-2536
93000	House	2024-01-02	$1,150,000 - $1,220,000	2024-02-06	$1,190,000	4	3	2		1208.0	My Agent Team	7-banksia-grove-malua-bay-nsw-2536
93001	House	2024-01-02	$690,000 - $730,000	2024-01-12	$725,000	3	2	2		747.0	My Agent Team	28-thomas-mitchell-crescent-sunshine-bay-nsw-2536
93003	House	2024-01-02	Guide $549,000	2024-01-19	$531,000	3	1	0		405.0	Ray White Goulburn	107-mundy-street-goulburn-nsw-2580
93016	Unit	2024-01-02	$410,000	2024-04-17	$398,000	2	1	1		261.0	John Mooney Real Estate	2-2-leena-place-wagga-wagga-nsw-2650
93034	House	2024-01-02	Auction 31/01/24	2024-01-31	$980,000	4	2	2	1.5	723.3	Ray White Canberra	22-kriewaldt-circuit-higgins-act-2615
93035	Land	2024-01-02	$200,000-$220,000	2024-02-09	$210,000	0	0	0		1151.0	Smile Elite	23-east-street-uralla-nsw-2358
93038	House	2024-01-02	$800,000 - $850,000	2024-02-05	$820,000	3	2	3		1100.0	Fitzpatricks	36-dalton-street-turvey-park-nsw-2650
93039	House	2024-01-03	$695,000 - $720,000	2024-04-03	$657,500	4	2	2		814.0	One Agency Wagga Wagga	36-bourkelands-drive-bourkelands-nsw-2650
93040	House	2024-01-03	$1,385,000	2024-04-23	$1,285,000	4	2	5		2.2	LJ Hooker Gungahlin	7-rag-holmes-lane-yass-nsw-2582
93041	House	2024-01-03	$880,000 - $930,000	2024-03-06	$840,000	4	2	2		753.0	My Agent Team	79-berrima-parade-surfside-nsw-2536
93042	House	2024-01-03	$940,000 - $980,000	2024-01-25	$987,000	3	2	3		834.0	My Agent Team	19-connells-close-mossy-point-nsw-2537
93066	House	2024-01-03	$789,000	2024-04-19	Undisclosed	4	2	2		875.5	PRD Wagga Wagga	71-connorton-street-uranquinty-nsw-2652
93077	House	2024-01-03	$600,000 - $660,000	2025-10-17	$640,000	3	1	2		972.0	Smile Elite	20a-east-street-uralla-nsw-2358
93078	House	2024-01-03	$1,250,000	2024-02-06	Undisclosed	3	2	2		1050.0	Ben Bate Real Estate	17-gem-crescent-narooma-nsw-2546
93084	Townhouse	2024-01-03	Auction 03/02/2024	2024-02-03	$517,000	2	1	1	5.5		Ray White Canberra	4-2-mcclure-street-evatt-act-2617
93087	House	2024-01-03	$1,525,000	2024-07-25	Undisclosed	4	2	8		2.36	Belle Property Batemans Bay	62-jedel-drive-catalina-nsw-2536
93093	Lifestyle	2024-01-03	Guide $2,200,000 - $2,300,000	2024-01-31	$2,360,000	3	2	8		41.51	Henley Property - Jindabyne	7781-the-snowy-river-way-jindabyne-nsw-2627
93095	House	2024-01-03	Auction (unless sold prior)	2024-02-14	Undisclosed	3	1	3		651.3	Ray White Goulburn	49-belmore-street-goulburn-nsw-2580
93104	House	2024-01-04	$1,100,000	2024-03-20	$1,000,000	4	3	5		1012.0	PRD Wagga Wagga	26-oconnor-street-uranquinty-nsw-2652
93107	Apartment	2024-01-04	$500,000+	2024-01-19	$520,000	2	1	1	4.0		McIntyre Property	1-nimbera-street-harrison-act-2914
93119	House	2024-01-04	$315,000	2024-08-29	$315,000	2	1	1			LJ Hooker Batemans Bay	site-72-49-old-princes-highway-batemans-bay-nsw-2536
93122	House	2024-01-04	$489,000	2024-03-08	$490,000	3	2	1		695.0	Macarthur Real Estate Agency	30-macarthur-street-ashmont-nsw-2650
93124	House	2024-01-04	$949,000 +	2024-02-09	$953,000	4	2	2	4.5	840.0	LJ Hooker Canberra City	40-freda-bennett-circuit-nicholls-act-2913
93157	House	2024-01-05	$649,000	2024-04-23	$635,000	2	1	0		626.0	LJ Hooker Tuross Head	4-gould-street-tuross-head-nsw-2537
93182	House	2024-01-05	Auction	2024-01-25	$715,000	3	1	2	1.0	721.0	LJ Hooker Kippax	5-lackey-place-charnwood-act-2615
93183	House	2024-01-05	$820,000- $860,000	2024-04-30	Undisclosed	5	2	2		834.0	PRD Wagga Wagga	34-kaloona-drive-bourkelands-nsw-2650
93202	House	2024-01-07	$690,000	2024-02-06	$690,000	4	2	2		670.9	Smile Elite	9-sauterne-close-muswellbrook-nsw-2333
93208	Townhouse	2024-01-08	$790,000	2024-02-06	$790,000	3	3	2	5.5		Maloney's Property	28-10-helpman-street-bonython-act-2905
93209	Apartment	2024-01-08	$650,000	2024-04-19	$640,000	2	2	1	6.0		Maloney's Property	61-20-allara-street-canberra-act-2601
93213	House	2024-01-08	For Sale $900,000 - $920,000	2024-01-05	$900,000	4	2	1			Smile Elite	97-sciberras-avenue-schofields-nsw-2762
93214	House	2024-01-08	Auction (if not sold prior), 10/2/24, 11am, onsite	2024-02-10	Undisclosed	5	2	4		1811.0	Ray White Wagga Wagga	41-43-inglis-street-lake-albert-nsw-2650
93222	House	2024-01-08	Auction 03/02/2024	2024-02-03	$825,000	3	1	4	4.0	911.0	Ray White Canberra	46-kneeshaw-street-monash-act-2904
93227	Unit	2024-01-08	$394,000	2024-02-05	$394,000	2	1	2			LJ Hooker Queanbeyan – Jerrabomberra – Googong	2-2-crest-road-crestwood-nsw-2620
93230	Farmlet	2024-01-08	$499,000	2025-01-23	$460,000	0	0	0		11.2	Belle Property Braidwood	103-blue-bush-road-wyanbene-nsw-2622
93238	Unit	2024-01-08	$220,000-$240,000	2024-03-08	$235,000	1	1	1			Ray White Queanbeyan | Jerrabomberra	11-110-112-fergus-road-karabar-nsw-2620
93241	House	2024-01-08	$650,000 - $700,000	2024-04-15	$662,500	4	2	2		450.6	Fitzpatricks	63-blamey-street-turvey-park-nsw-2650
93242	Lifestyle	2024-01-08	MOTIVATED SELLER - $1,290,000	2024-05-20	$1,200,000	3	1	7		95.0	Ray White Goulburn	4-rotherwood-road-lake-bathurst-nsw-2580
93244	House	2024-01-08	$590,000 to $620,000	2024-04-09	$585,000	3	1	1			Smile Elite	5-stevenson-street-goonellabah-nsw-2480
93245	House	2024-01-08	$725,000 - $745,000	2024-03-07	$730,000	3	1	1		607.0	Ray White Queanbeyan | Jerrabomberra	118-fergus-road-queanbeyan-nsw-2620
93246	House	2024-01-08	$565,000	2024-03-11	$548,000	5	2	4		667.0	Smile Elite	7-boronia-drive-muswellbrook-nsw-2333
93250	House	2024-01-08	$630,000	2024-02-27	$630,000	3	1	1			Smile Elite	71-cowper-street-braidwood-nsw-2622
93256	House	2024-01-08	Auction	2024-01-31	Undisclosed	3	1	1	1.0	623.0	LJ Hooker Kippax	6-burge-close-holt-act-2615
93264	Townhouse	2024-01-09	$855,000	2024-02-13	$855,000	3	2	2	5.0		home.by holly	7-4-lorraway-street-holt-act-2615
93272	House	2024-01-09	Auction 10:00am Saturday 3rd February	2024-01-28	$1,180,000	4	2	1	3.5	777.0	home.by holly	27-eggleston-crescent-chifley-act-2606
93274	House	2024-01-09	$690,000 - $760,000	2024-02-05	$745,000	3	1	2	0.0	644.0	McIntyre Property	8-beard-street-karabar-nsw-2620
93276	House	2024-01-09	$1,150,000	2024-02-06	$1,150,000	3	2	2		835.0	My Agent Team	96-elizabeth-drive-broulee-nsw-2537
93280	Unit	2024-01-09	$625,000	2024-02-14	Undisclosed	2	1	1		220.0	PRD Wagga Wagga	4-309-lake-albert-road-kooringal-nsw-2650
93295	AcreageSemi-rural	2024-01-09	Under Offer	2025-05-12	Undisclosed	8	4	10		395.65	Raine & Horne Southern Highlands	352a-lower-bugong-road-budgong-nsw-2577
93297	House	2024-01-09	$760,000 - $780,000	2024-05-30	$760,000	4	2	2		770.0	Fitzpatricks	9-nellywanna-street-gobbagombalin-nsw-2650
93298	House	2024-01-09	$429,000	2024-01-19	$420,000	4	1	1		714.5	PRD Wagga Wagga	50-tichborne-crescent-kooringal-nsw-2650
93299	House	2024-01-09	Price Guide $245,000 - $260,000	2024-02-08	Undisclosed	2	1	2		2023.0	Flemings Property Services	28-campbell-street-koorawatha-nsw-2807
93304	House	2024-01-09	$649,000	2024-04-12	$635,000	4	1	4		834.0	Smile Elite	13-tyringham-street-dorrigo-nsw-2453
93309	House	2024-01-09	$430,000	2024-03-13	$430,000	3	1	1		2.06	Flemings Property Services	68-morrisons-hill-road-wallendbeen-nsw-2588
93315	Unit	2024-01-10	$460,000	2024-05-28	$460,000	2	1	1			Coast Property Group	2-9-11-kyeamba-street-merimbula-nsw-2548
93320	House	2024-01-10	Auction	2024-02-06	$915,000	3	1	0	4.0	929.0	LJ Hooker Belconnen	4-stillwell-place-mawson-act-2607
93321	House	2024-01-10	$875,000	2024-02-01	$875,000	3	2	2	3.0	775.0	LJ Hooker Belconnen	31-ashkanasy-crescent-evatt-act-2617
