id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
32576	AcreageSemi-rural	2020-10-07T14:50:07.504568+11:00	Under Offer	2021-10-18T00:00:00+11:00	Undisclosed	4	2	4		2.23	Ray White Braidwood	214-bombay-road-braidwood-nsw-2622
34259	Land	2020-11-12T13:50:08.655035+11:00	$585,000	2021-10-08T00:00:00+11:00	$570,000	0	0	0		8224.00	LJ Hooker Malua Bay	12-highlands-avenue-surf-beach-nsw-2536
34270	Lifestyle	2020-11-12T14:35:05.744415+11:00	By Negotiation	2021-09-02T00:00:00+10:00	Undisclosed	8	2	9		12.00	Ray White Braidwood	6-dempseys-road-krawarree-via-braidwood-nsw-2622
34548	Unit	2020-11-19T09:25:07.699788+11:00	$530,000	2021-09-03T00:00:00+10:00	$525,000	3	2	2	6.00		LJ Hooker Gungahlin	2-1-anthony-rolfe-avenue-gungahlin-act-2912
34789	Apartment	2020-11-24T18:08:25.264329+11:00	$455,000+	2021-10-20T00:00:00+11:00	$500,000	2	2	2	6.00	0.00	Avantus Capital	the-brooke-39-braybrooke-st-bruce-act-2617
34973	Apartment	2020-11-28T12:35:32.129911+11:00	$430,000	2021-09-14T00:00:00+10:00	$420,000	1	1	1	6.00		Crowthers	905-25-edinburgh-avenue-city-act-2601
35519	Apartment	2020-12-15T10:11:50.371630+11:00	Offers over $585,000	2021-09-27T00:00:00+10:00	$585,000	3	2	2	5.97	0.00	Southern Property Canberra	1502-120-eastern-valley-way-belconnen-act-2617
35522	Apartment	2020-12-15T10:51:05.325669+11:00	Offers over $579,000	2021-09-27T00:00:00+10:00	$585,000	2	2	2	6.00	0.00	Southern Property Canberra	508-120-eastern-valley-way-belconnen-act-2617
35751	House	2020-12-15T14:31:23.449223+11:00	n/a	2021-09-07T00:00:00+10:00	Undisclosed	2	1	0	0.00	32374.00	Tathra Beach Real Estate	66-old-wallagoot-road-kalaru-nsw-2550
35812	Livestock	2020-12-22T17:53:34.309307+11:00	UNDER OFFER	2021-09-29T00:00:00+10:00	Undisclosed	7	3	2		350.00	Guy Higgins Property Sales	179-wyndham-lane-toothdale-nsw-2550
35881	Lifestyle	2020-12-29T15:58:46.859378+11:00	By Negotiation	2021-10-01T00:00:00+10:00	Undisclosed	5	3	4		12.68	Marshall and Tacheci Real Estate	corunna-farm-mystery-bay-road-corunna-nsw-2546
